"id_lieu","id_local","nom_lieu","ad_lieu","com_lieu","insee","type","date_maj","ouvert","source","Xlong","Ylat","nbre_pl","nbre_pmr","duree","horaires","proprio","lumiere","comm"
"54232-C-003","C-003","Aire de covoiturage de Gondreville","D 400","Gondreville","54232","Aire de covoiturage","2023-09-23","true","200070563","5.9778969","48.6898869","48","1","","24/7","","true",""
"54528-C-004","C-004","Parking Le Comptoir","Avenue de l’Europe","Toul","54528","Parking","2023-09-23","true","200070563","5.9043514","48.6944948","","0","","24/7","","",""
"29213-C-001","C-001","Aire de covoiturage Berven centre","place du champ de foire. 29440 Plouzévédé","PLOUZEVEDE","29213","Aire de covoiturage","2023-08-02","true","491608675","-4.112750","48.605705","","","","","","",""
"29213-C-002","C-002","Mât d'auto-stop Berven centre","place du champ de foire. 29440 Plouzévédé","PLOUZEVEDE","29213","Auto-stop","2023-08-02","true","491608675","-4.112750","48.605705","","","","","","",""
"29074-C-001","C-001","Aire de covoiturage Guimiliau centre","11 rue du Calvaire. 29400 Guimiliau","GUIMILIAU","29074","Aire de covoiturage","2023-08-02","true","491608675","-4.000509","48.487612","","","","","","",""
"29074-C-002","C-002","Mât d'auto-stop Guimiliau centre","11 rue du Calvaire. 29400 Guimiliau","GUIMILIAU","29074","Auto-stop","2023-08-02","true","491608675","-4.000509","48.487612","","","","","","",""
"54232-C-002","C-002","Stade Gondreville","Boulevard de l'Avenir","Gondreville","54232","Parking","2023-07-25","true","200070563","5.9708534","48.6941452","","","","","","true",""
"2A004-C-001","C-001","A Confina","Lieu-dit Stagnacciu (Croisement RT22 - RD31)","AJACCIO","2A004","Supermarché","2019-08-28","true","539830349","8.783403","41.9523692","0","0","","24/7","Prive","true","transport : Bus Muvistrada (2)"
"2A004-C-002","C-002","Geant","Route de Mezzavia","AJACCIO","2A004","Supermarché","2019-08-28","true","200038958","8.774718","41.9502667","0","0","","","Prive","","transport : Bus Muvistrada (2)"
"2A004-C-003","C-003","Socordis","Croisement RT20 - RT21 - RT40","AJACCIO","2A004","Aire de covoiturage","2019-08-28","true","200076958","8.801744","41.9307942","35","0","","24/7","Collectivite de Corse","true","transport : Bastiabus"
"2A004-C-004","C-004","Station-service BP","Route du Ricanto. Croisement RT21 - RD503","AJACCIO","2A004","Supermarché","2019-08-28","true","200076958","8.761640007","41.92940226","0","0","","24/7","Prive","true","transport : Bus Muvistrada (1)"
"2A004-C-005","C-005","Halte ferroviaires des Salines","Boulevard Charles Bonaparte","AJACCIO","2A004","Parking relais","2019-08-28","true","200076958","8.751108031","41.9338384","0","0","","24/7","Collectivite de Corse","true","transport : Bus Muvistrada (2)"
"2A004-C-006","C-006","U Cimiteriu - Cimetiere","Route des Sanguinaires","AJACCIO","2A004","Parking relais","2019-08-28","true","222000028","8.703146","41.9079983","204","3","","24/7","Collectivite de Corse","true","vélo : oui"
"2A006-C-001","C-001","U Serenu","Croisement RD81 - RD161","ALATA","2A006","Supermarché","2019-08-28","true","222000028","8.778097256","41.98121882","0","0","","24/7","Prive","",""
